,County0,MICH-01_2011-2015,MICH-01_2012-2016,MICH-01_2013-2017,MICH-01_2014-2018,MICH-01_2015-2019,MICH-01_MetGoal,MICH-02_2011-2015,MICH-02_2012-2016,MICH-02_2013-2017,MICH-02_2014-2018,MICH-02_2015-2019,MICH-02_MetGoal,MICH-03_2011-2015,MICH-03_2012-2016,MICH-03_2013-2017,MICH-03_2014-2018,MICH-03_2015-2019,MICH-03_MetGoal,MICH-06_2011-2015,MICH-06_2012-2016,MICH-06_2013-2017,MICH-06_2014-2018,MICH-06_2015-2019,MICH-06_MetGoal,MICH-07_2011-2015,MICH-07_2012-2016,MICH-07_2013-2017,MICH-07_2014-2018,MICH-07_2015-2019,MICH-07_MetGoal,MICH-08_2011-2015,MICH-08_2012-2016,MICH-08_2013-2017,MICH-08_2014-2018,MICH-08_2015-2019,MICH-08_MetGoal,MICH-10_2011-2015,MICH-10_2012-2016,MICH-10_2013-2017,MICH-10_2014-2018,MICH-10_2015-2019,MICH-10_MetGoal,MICH-13_2011-2015,MICH-13_2012-2016,MICH-13_2013-2017,MICH-13_2014-2018,MICH-13_2015-2019,MICH-13_MetGoal
10,Butler,4.8,5.8,5.2,5.4,5.4,Yes,4.6,4.6,4.3,3.8,4.0,Yes,20.7,18.6,15.9,16.1,15.0,Yes,27.3,28.1,26.0,27.9,29.5,No,8.4,8.3,8.1,8.0,8.1,Yes,78.9,82.9,81.1,83.7,87.0,Yes,85.0,85.8,86.5,87.1,88.0,No,43.1,40.4,40.0,41.6,35.4,No
11,Cambria,6.8,5.9,4.6,4.3,5.9,No,6.2,6.4,6.0,5.9,6.7,No,28.3,33.9,35.3,37.5,36.3,No,14.4,18.6,22.6,22.6,27.4,No,9.2,8.9,10.0,10.7,11.3,No,82.0,80.0,80.9,82.0,82.8,Yes,74.0,75.4,76.3,77.4,78.3,No,44.1,43.1,41.1,40.5,36.8,No
12,Cameron,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,7.6,5.7,6.3,9.3,11.5,No,81.6,86.8,85.2,79.4,81.0,Yes,66.4,65.7,64.9,66.4,65.8,No,51.1,53.8,35.7,37.8,40.0,No
13,Carbon,4.4,4.4,5.1,6.2,7.0,No,4.8,4.1,3.7,3.4,DSU,DSU,32.9,29.6,30.1,32.4,26.9,No,25.6,24.3,25.6,24.5,27.1,No,10.6,9.7,9.2,9.1,9.6,No,51.5,68.5,69.7,75.6,72.2,No,75.3,75.7,76.8,77.4,79.0,No,43.0,37.4,42.2,40.6,38.5,No
14,Centre,6.4,6.3,6.4,6.0,5.4,Yes,3.9,3.9,3.2,3.4,4.2,Yes,16.8,14.6,13.8,15.8,10.8,Yes,19.4,20.6,20.8,16.2,18.4,Yes,7.0,7.1,7.4,7.2,7.6,Yes,79.4,80.5,82.1,80.6,79.7,No,89.6,90.4,91.3,91.8,92.0,No,54.1,54.5,53.1,50.2,48.3,Yes
15,Chester,4.8,4.4,4.7,4.3,4.2,Yes,4.7,4.6,4.2,4.0,4.2,Yes,17.5,17.1,14.3,15.7,15.4,Yes,23.6,23.5,21.6,22.0,24.0,No,8.3,8.4,8.1,7.9,8.0,Yes,57.4,58.2,55.6,59.0,62.8,No,94.2,94.5,94.9,95.1,95.5,No,56.1,57.1,54.3,55.0,53.9,Yes
16,Clarion,DSU,5.6,DSU,DSU,DSU,DSU,6.6,7.1,8.1,7.7,8.6,No,DSU,DSU,DSU,DSU,DSU,DSU,27.1,32.4,28.7,27.7,26.1,No,8.9,8.7,8.0,8.3,8.7,Yes,77.0,78.9,78.3,75.4,71.6,No,78.9,78.8,79.4,81.2,81.7,No,37.9,30.8,30.2,32.7,30.6,No
17,Clearfield,5.9,6.1,5.3,5.6,5.7,Yes,6.4,5.6,5.4,6.8,8.2,No,25.8,29.3,29.8,31.8,37.1,No,19.3,24.8,24.6,18.2,25.9,No,7.3,7.3,7.7,7.9,9.0,Yes,75.0,76.4,81.1,80.2,79.3,No,71.2,72.5,73.8,75.5,76.8,No,45.5,42.3,37.7,40.3,37.7,No
18,Clinton,6.5,7.6,7.2,7.7,6.3,No,DSU,DSU,DSU,DSU,5.9,No,44.4,41.8,39.3,34.6,29.8,No,27.7,20.8,19.1,31.7,22.9,Yes,7.0,8.1,8.4,8.7,8.7,Yes,65.8,65.2,65.5,69.9,70.6,No,78.5,79.2,80.4,82.2,82.9,No,47.5,41.4,42.2,41.5,39.0,No
19,Columbia,8.1,6.0,5.5,5.7,5.7,Yes,5.6,5.7,5.9,5.7,5.8,No,19.6,23.2,25.0,30.4,25.7,No,27.5,24.7,22.4,26.5,19.6,Yes,9.1,8.9,9.3,10.4,10.6,No,86.3,84.5,85.6,81.4,81.5,Yes,78.0,79.2,79.9,81.3,81.9,No,41.7,40.1,44.4,36.8,41.4,No
