,county_name,population,pop_change_2010,perc_under_18,perc_csec,perc_prenat_1tri,perc_non_smoke,fert_15_44,birth_rate_15_19,birth_rate_20_24,birth_rate_25_29,birth_rate_30_34,birth_date_35_39,birth_rate_40_44,all_cause_death,chlam_per_100000,gono_per_100000,perc_smoker,hiv_tested,perc_no_healthins,perc_obese,perc_routine_checkup,beds_per_1000,inpatient_occupancy_rate,goals_met,population_White,population_Black,population_Native,population_Asian,population_NativeHawaiian_PacificIslander,population_OtherRace,ADI_STATERNK_INT_mean
68,Northampton,305285.0,2.5,19.8,32.7,78.2,89.9,50.9,10.5,46.3,93.7,102.6,49.3,9.3,688.0,403.7,118.7,18.0,45.0,6.0,32.0,89.0,1.1,43.2,2,0.8339266286037347,0.059342674857757,0.001725651063494,0.0289284857329743,0.000476608388965,0.0276564343775987,4.3017751479289945
69,Northumberland,90843.0,-3.9,19.3,28.8,70.1,77.9,62.7,24.5,104.6,115.0,87.9,34.4,6.7,828.5,262.5,33.9,15.0,31.0,13.0,34.0,83.0,0.7,21.3,2,0.937008132932898,0.0246947409956814,0.0013372207729574,0.0036609158866212,0.000284981476204,0.0102812547953613,7.473684210526316
70,Bradford,60323.0,-3.7,21.8,28.8,80.2,81.1,68.6,27.6,121.2,137.1,86.8,33.0,6.1,779.1,187.4,17.0,21.0,33.0,8.0,36.0,89.0,5.4,55.8,2,0.9634558060638,0.0067027881622502,0.0007740320482205,0.0062087251527478,0.0009222509510712,0.0051382552988257,5.981132075471698
71,Lebanon,141793.0,6.2,22.6,30.2,72.3,89.4,64.3,19.7,90.2,128.3,98.8,41.0,9.5,745.4,328.9,50.6,20.0,42.0,16.0,32.0,87.0,1.1,54.3,2,0.8559789188804217,0.0247275835054483,0.0008617619827647,0.0149134677017306,0.0001495619970087,0.074602948507941,5.776315789473684
72,Bradford,60323.0,-3.7,21.8,28.8,80.2,81.1,68.6,27.6,121.2,137.1,86.8,33.0,6.1,779.1,187.4,17.0,21.0,33.0,8.0,36.0,89.0,5.4,55.8,2,0.9634558060638,0.0067027881622502,0.0007740320482205,0.0062087251527478,0.0009222509510712,0.0051382552988257,5.981132075471698
73,Northumberland,90843.0,-3.9,19.3,28.8,70.1,77.9,62.7,24.5,104.6,115.0,87.9,34.4,6.7,828.5,262.5,33.9,15.0,31.0,13.0,34.0,83.0,0.7,21.3,2,0.937008132932898,0.0246947409956814,0.0013372207729574,0.0036609158866212,0.000284981476204,0.0102812547953613,7.473684210526316
74,Blair,121829.0,-4.1,20.2,25.4,79.4,80.4,58.5,20.8,90.4,108.7,89.9,32.9,6.4,850.8,314.6,57.6,19.0,37.0,7.0,34.0,88.0,3.4,63.0,2,0.951826605167558,0.0182048246867219,0.001453120535532,0.0059022817257847,0.0004408343197681,0.0020408996285562,7.333333333333333
75,Clearfield,79255.0,-2.9,18.0,27.2,78.0,76.8,60.2,21.7,92.9,122.6,90.2,35.7,4.2,801.6,177.9,21.4,27.0,35.0,10.0,41.0,86.0,3.3,58.5,2,0.9426421362595324,0.0275337880351345,0.0017365917499307,0.0050587672715375,0.0001132559836911,0.0041149674074446,8.048387096774194
76,Bradford,60323.0,-3.7,21.8,28.8,80.2,81.1,68.6,27.6,121.2,137.1,86.8,33.0,6.1,779.1,187.4,17.0,21.0,33.0,8.0,36.0,89.0,5.4,55.8,2,0.9634558060638,0.0067027881622502,0.0007740320482205,0.0062087251527478,0.0009222509510712,0.0051382552988257,5.981132075471698
77,Clearfield,79255.0,-2.9,18.0,27.2,78.0,76.8,60.2,21.7,92.9,122.6,90.2,35.7,4.2,801.6,177.9,21.4,27.0,35.0,10.0,41.0,86.0,3.3,58.5,2,0.9426421362595324,0.0275337880351345,0.0017365917499307,0.0050587672715375,0.0001132559836911,0.0041149674074446,8.048387096774194
